rank,Catalog,Group_ID,RA,DEC,Redshift,z_bin,SNR,Flux_erg_cm2_s,Luminosity_erg_s,Aperture_Arcsec,cutout_arcsec,R200_kpc,R200_Luminosity_kpc,RA_xray_peak,Dec_xray_peak,Net_Counts,Log10_M200_Luminosity
1,CW-HCG,20975,150.447203,2.419458,0.215000,z<0.3,28.722691,0.000000,3869495611854365211900132724604864699564032.000000,120.000000,240.000000,682.297719,679.255118,150.465001,2.395859,0.004473,13.616763
2,CW-HCG,19601,150.425655,2.447035,0.389000,z=0.3-0.6,28.622544,0.000000,11436799453052500140692099773800585199878144.000000,114.811783,229.600000,760.941807,757.406338,150.421637,2.423647,0.003172,13.846194
3,CW-HCG,7926,149.923212,2.525204,0.729000,z=0.6-1.0,26.316880,0.000000,53494384955825858681034415488852778108846080.000000,90.589763,181.200000,822.917493,818.862936,149.917847,2.519222,0.002948,14.127597
4,CW-HCG,10778,150.413234,2.408998,0.374000,z=0.3-0.6,26.049930,0.000000,8767343476003628893887443998629153095024640.000000,112.368828,224.700000,726.811095,723.445127,150.394943,2.403653,0.002681,13.778672
5,CW-HCG,17249,149.913957,2.528271,0.730000,z=0.6-1.0,23.146272,0.000000,40742111145109695927045590137078317926318080.000000,85.369694,170.700000,775.898698,772.075291,149.917847,2.519222,0.002237,14.051473
6,CW-HCG,23848,150.410643,2.449774,0.808500,z=0.6-1.0,15.098743,0.000000,25718123923994870687634500728101108445085696.000000,70.443671,140.900000,663.778085,660.474459,150.412906,2.444874,0.001076,13.889565
7,CW-HCG,11455,150.385845,2.418545,0.344000,z=0.3-0.6,12.081676,0.000000,2680778658732093101230105884469721410043904.000000,94.057000,188.100000,576.731327,574.078109,150.394943,2.403653,0.001007,13.461959
8,CW-HCG,10141,150.402292,2.464143,0.503000,z=0.3-0.6,10.953262,0.000000,5405184511305195186878892219842175692701696.000000,77.732245,155.500000,596.672660,593.836606,150.402736,2.444761,0.000784,13.588917
9,CW-HCG,12520,150.113165,2.355704,0.210500,z<0.3,10.715314,0.000000,1164022458972953826940140646894431551619072.000000,120.000000,240.000000,529.661952,527.302739,150.124708,2.327016,0.001413,13.284666
10,CW-HCG,12400,150.122142,2.350449,0.221000,z<0.3,10.681509,0.000000,1257445924616735020903365154545590847143936.000000,119.326022,238.700000,534.648043,532.260196,150.124708,2.327016,0.001363,13.301949
11,CW-HCG,3141,149.924818,2.501050,1.428000,z=1.0-1.5,10.541042,0.000000,73463431735685030962910977374550780744302592.000000,51.237644,102.500000,539.219985,536.404861,,,0.000655,13.927718
12,CW-HCG,18480,150.392019,2.433589,0.616000,z=0.6-1.0,10.365156,0.000000,7998027488892394705039614065261354470604800.000000,70.407125,140.800000,596.617215,593.725852,150.396152,2.434876,0.000687,13.648648
13,CW-HCG,12395,150.030124,2.375310,0.220000,z<0.3,9.968754,0.000000,1134995991888670424515994767272144883679232.000000,117.229614,234.500000,523.443864,521.106655,,,0.001243,13.273871
14,CW-HCG,1163,150.105068,2.416419,2.471000,z=1.5-2.5,8.177582,0.000000,218297918231503636213323925361409485787103232.000000,36.186049,72.400000,375.108341,373.102157,,,0.000426,13.880933
15,CW-HCG,3534,149.881189,2.450727,1.309000,z=1.0-1.5,7.543477,0.000000,45981466783320576978952825707525100714065920.000000,50.482096,101.000000,527.798304,525.059378,,,0.000521,13.843613
16,CW-HCG,3237,150.113151,2.365177,1.424000,z=1.0-1.5,7.355082,0.000000,44545221618601666487842091662893843174391808.000000,46.177955,92.400000,485.898540,483.362264,,,0.000400,13.790194
17,CW-HCG,14785,150.450521,2.443651,2.002000,z=1.5-2.5,5.482970,0.000000,81622645398069666544181581411984763930017792.000000,34.950477,69.900000,389.694452,387.623624,,,0.000286,13.753109
18,CW-HCG,14932,149.872310,2.343823,1.754000,z=1.5-2.5,4.938557,0.000000,71785103571415444473083057031444022306013184.000000,41.582157,83.200000,437.764699,435.451935,,,0.000363,13.801794
19,CW-HCG,98545,150.127093,2.359785,2.767000,z>2.5,3.464726,0.000000,194782009359037527597891171583104371132465152.000000,32.437800,64.900000,317.517326,315.815547,,,0.000278,13.765674
20,CW-HCG,1070,150.238588,2.335950,2.504000,z>2.5,3.394290,0.000000,77078456227527378915178058040873084275130368.000000,29.466410,60.000000,295.523058,293.942053,,,0.000145,13.581962
